 0.16970563E+00  0.44432359E+00  0.35600000E+00  0.88323593E-01
 0.17111984E+00  0.44827706E+00  0.35359000E+00  0.94687057E-01
 0.17253405E+00  0.45208052E+00  0.35116000E+00  0.10092052E+00
 0.17394827E+00  0.45573399E+00  0.34871000E+00  0.10702399E+00
 0.17536248E+00  0.45923745E+00  0.34624000E+00  0.11299745E+00
 0.17677670E+00  0.46259092E+00  0.34375000E+00  0.11884092E+00
 0.17819091E+00  0.46579438E+00  0.34124000E+00  0.12455438E+00
 0.17960512E+00  0.46884784E+00  0.33871000E+00  0.13013784E+00
 0.18101934E+00  0.47175131E+00  0.33616000E+00  0.13559131E+00
 0.18243355E+00  0.47450477E+00  0.33359000E+00  0.14091477E+00
 0.18384776E+00  0.47710824E+00  0.33100000E+00  0.14610824E+00
 0.18526198E+00  0.47956170E+00  0.32839000E+00  0.15117170E+00
 0.18667619E+00  0.48186517E+00  0.32576000E+00  0.15610517E+00
 0.18809040E+00  0.48401863E+00  0.32311000E+00  0.16090863E+00
 0.18950462E+00  0.48602210E+00  0.32044000E+00  0.16558210E+00
 0.19091883E+00  0.48787556E+00  0.31775000E+00  0.17012556E+00
 0.19233304E+00  0.48957902E+00  0.31504000E+00  0.17453902E+00
 0.19374726E+00  0.49113249E+00  0.31231000E+00  0.17882249E+00
 0.19516147E+00  0.49253595E+00  0.30956000E+00  0.18297595E+00
 0.19657569E+00  0.49378942E+00  0.30679000E+00  0.18699942E+00
 0.19798990E+00  0.49489288E+00  0.30400000E+00  0.19089288E+00
 0.19940411E+00  0.49584635E+00  0.30119000E+00  0.19465635E+00
 0.20081833E+00  0.49664981E+00  0.29836000E+00  0.19828981E+00
 0.20223254E+00  0.49730328E+00  0.29551000E+00  0.20179328E+00
 0.20364675E+00  0.49780674E+00  0.29264000E+00  0.20516674E+00
 0.20506097E+00  0.49816020E+00  0.28975000E+00  0.20841020E+00
 0.20647518E+00  0.49836367E+00  0.28684000E+00  0.21152367E+00
 0.20788939E+00  0.49841713E+00  0.28391000E+00  0.21450713E+00
 0.20930361E+00  0.49832060E+00  0.28096000E+00  0.21736060E+00
 0.21071782E+00  0.49807406E+00  0.27799000E+00  0.22008406E+00
 0.21213203E+00  0.49767753E+00  0.27500000E+00  0.22267753E+00
 0.21354625E+00  0.49713099E+00  0.27199000E+00  0.22514099E+00
 0.21496046E+00  0.49643446E+00  0.26896000E+00  0.22747446E+00
 0.21637468E+00  0.49558792E+00  0.26591000E+00  0.22967792E+00
 0.21778889E+00  0.49459138E+00  0.26284000E+00  0.23175138E+00
 0.21920310E+00  0.49344485E+00  0.25975000E+00  0.23369485E+00
 0.22061732E+00  0.49214831E+00  0.25664000E+00  0.23550831E+00
 0.22203153E+00  0.49070178E+00  0.25351000E+00  0.23719178E+00
 0.22344574E+00  0.48910524E+00  0.25036000E+00  0.23874524E+00
 0.22485996E+00  0.48735871E+00  0.24719000E+00  0.24016871E+00
 0.22627417E+00  0.48546217E+00  0.24400000E+00  0.24146217E+00
 0.22768838E+00  0.48341563E+00  0.24079000E+00  0.24262563E+00
 0.22910260E+00  0.48121910E+00  0.23756000E+00  0.24365910E+00
 0.23051681E+00  0.47887256E+00  0.23431000E+00  0.24456256E+00
 0.23193102E+00  0.47637603E+00  0.23104000E+00  0.24533603E+00
 0.23334524E+00  0.47372949E+00  0.22775000E+00  0.24597949E+00
 0.23475945E+00  0.47093296E+00  0.22444000E+00  0.24649296E+00
 0.23617366E+00  0.46798642E+00  0.22111000E+00  0.24687642E+00
 0.23758788E+00  0.46488988E+00  0.21776000E+00  0.24712988E+00
 0.23900209E+00  0.46164335E+00  0.21439000E+00  0.24725335E+00
 0.24041631E+00  0.45824681E+00  0.21100000E+00  0.24724681E+00
 0.24183052E+00  0.45470028E+00  0.20759000E+00  0.24711028E+00
 0.24324473E+00  0.45100374E+00  0.20416000E+00  0.24684374E+00
 0.24465895E+00  0.44715721E+00  0.20071000E+00  0.24644721E+00
 0.24607316E+00  0.44316067E+00  0.19724000E+00  0.24592067E+00
 0.24748737E+00  0.43901413E+00  0.19375000E+00  0.24526413E+00
 0.24890159E+00  0.43471760E+00  0.19024000E+00  0.24447760E+00
 0.25031580E+00  0.43027106E+00  0.18671000E+00  0.24356106E+00
 0.25173001E+00  0.42567453E+00  0.18316000E+00  0.24251453E+00
 0.25314423E+00  0.42092799E+00  0.17959000E+00  0.24133799E+00
 0.25455844E+00  0.41603146E+00  0.17600000E+00  0.24003146E+00
 0.25597265E+00  0.41098492E+00  0.17239000E+00  0.23859492E+00
 0.25738687E+00  0.40578838E+00  0.16876000E+00  0.23702838E+00
 0.25880108E+00  0.40044185E+00  0.16511000E+00  0.23533185E+00
